t,x,y,z,odom_yaw,cx,cy,cz,label,rot1,rot2,rot3,rot4,rot5,rot6,rot7,rot8,rot9
1714313238539090825,3.59451,-0.886601,-0.486734,0.245647,3.72716,0.220083,-0.0573273,Three,0.948192,-0.295205,-0.117416,0.301068,0.952946,0.0353891,0.101444,-0.0689058,0.992452
1714313238546071378,3.59423,-0.886451,-0.48633,0.246836,3.72681,0.220098,-0.0569293,Three,0.948196,-0.295189,-0.117423,0.30105,0.952952,0.035367,0.101459,-0.0688851,0.992452
1714313238553190213,3.59444,-0.886417,-0.486753,0.243169,3.72705,0.220073,-0.0573256,Three,0.948204,-0.295163,-0.117424,0.301023,0.952961,0.0353686,0.10146,-0.0688839,0.992452
1714313238561316868,3.59395,-0.886273,-0.486347,0.233326,3.7265,0.220028,-0.0570554,Three,0.94821,-0.295151,-0.117404,0.30101,0.952965,0.0353672,0.101443,-0.0688752,0.992454
1714313238568403557,3.59481,-0.886394,-0.486785,0.249048,3.72741,0.220098,-0.0573399,Three,0.948213,-0.295135,-0.117418,0.300996,0.952969,0.0353727,0.101456,-0.0688831,0.992452
1714313238575765861,3.59404,-0.886249,-0.486404,0.234384,3.72659,0.220035,-0.0570568,Three,0.948212,-0.295139,-0.117415,0.300998,0.952969,0.0353561,0.101458,-0.0688667,0.992453
1714313238582618028,3.59436,-0.88637,-0.486671,0.241229,3.72695,0.220065,-0.0573241,Three,0.948209,-0.295155,-0.117402,0.30101,0.952967,0.0353223,0.101455,-0.0688321,0.992456
1714313238589473139,3.59426,-0.886285,-0.486364,0.237036,3.72681,0.220051,-0.0570601,Three,0.948216,-0.295136,-0.117395,0.30099,0.952973,0.0353257,0.101448,-0.068831,0.992457
1714313238596207807,3.59462,-0.886371,-0.486759,0.24471,3.72722,0.220082,-0.057337,Three,0.948212,-0.295139,-0.117414,0.300994,0.952972,0.0353194,0.101468,-0.0688312,0.992455
1714313238603302560,3.59379,-0.886121,-0.486475,0.231445,3.72633,0.220016,-0.0570528,Three,0.948215,-0.295121,-0.11744,0.300976,0.952978,0.0353107,0.101497,-0.0688289,0.992452
1714313238610606869,3.59477,-0.886325,-0.486902,0.24771,3.72737,0.220094,-0.0573392,Three,0.948215,-0.295119,-0.117446,0.300974,0.952979,0.0353027,0.101505,-0.0688228,0.992452
1714313238617432675,3.59357,-0.886127,-0.486497,0.229415,3.72613,0.220001,-0.0570496,Three,0.948209,-0.295135,-0.117452,0.300989,0.952974,0.0352922,0.101513,-0.0688162,0.992451
1714313238624770501,3.5944,-0.886332,-0.487047,0.242653,3.72703,0.220071,-0.0573253,Three,0.948202,-0.295141,-0.117498,0.300997,0.952973,0.035274,0.101561,-0.0688132,0.992447
1714313238631425139,3.59431,-0.886337,-0.48712,0.241264,3.72696,0.220065,-0.0573241,Three,0.948197,-0.295146,-0.117519,0.301002,0.952971,0.0352616,0.101585,-0.0688084,0.992444
1714313238638311587,3.5944,-0.886284,-0.487114,0.242674,3.72704,0.220072,-0.0573253,Three,0.948204,-0.295128,-0.117515,0.300984,0.952977,0.0352645,0.101581,-0.068808,0.992445
1714313238645027727,3.59356,-0.886012,-0.486636,0.22917,3.72611,0.22,-0.0570494,Three,0.948214,-0.295105,-0.117489,0.30096,0.952984,0.0352682,0.101557,-0.0688012,0.992448
1714313238651618614,3.59466,-0.886181,-0.486993,0.245065,3.72724,0.220084,-0.0573373,Three,0.948221,-0.295087,-0.117473,0.300941,0.95299,0.0352683,0.101543,-0.0687946,0.99245
1714313238658297048,3.59371,-0.88592,-0.486653,0.230333,3.72623,0.220008,-0.0570512,Three,0.948223,-0.295074,-0.11749,0.300929,0.952994,0.0352799,0.101557,-0.0688094,0.992447
1714313238665114302,3.59364,-0.88589,-0.486619,0.229535,3.72615,0.220002,-0.0570499,Three,0.948225,-0.295071,-0.117486,0.30093,0.952992,0.035309,0.101544,-0.0688357,0.992447
1714313238672034675,3.59386,-0.885916,-0.486664,0.231772,3.72637,0.220019,-0.0570534,Three,0.948226,-0.295065,-0.117491,0.300926,0.952993,0.035334,0.101542,-0.0688607,0.992445
