t,x,y,z,odom_yaw,cx,cy,cz,label,rot1,rot2,rot3,rot4,rot5,rot6,rot7,rot8,rot9
1713602429606617278,3.39724,0.16582,0.81226,-0.589626,3.41325,0.198216,0.146853,Three,0.983449,-0.0270341,0.179158,0.0325895,0.999073,-0.0281376,-0.178231,0.0335105,0.983418
1713602429612521954,3.42545,0.162647,0.818407,-0.560142,3.44219,0.195805,0.147762,Three,0.983449,-0.0270374,0.179158,0.0325917,0.999073,-0.0281313,-0.178231,0.0335048,0.983418
1713602429623164149,3.35547,0.153423,0.802634,-0.554879,3.37077,0.184805,0.144476,Three,0.983452,-0.0270506,0.179138,0.032595,0.999074,-0.0280791,-0.178212,0.0334535,0.983423
1713602429631635571,3.37754,0.14752,0.806607,-0.528697,3.39331,0.179768,0.144651,Three,0.983471,-0.0271256,0.179024,0.0326592,0.999073,-0.0280345,-0.178098,0.0334179,0.983445
1713602429637550123,3.37106,0.143192,0.80524,-0.507698,3.38682,0.175267,0.144321,Three,0.983471,-0.0271241,0.179022,0.0326563,0.999074,-0.0280274,-0.178096,0.0334104,0.983446
1713602429648899581,3.40329,0.13561,0.81207,-0.465996,3.41994,0.168463,0.145081,Three,0.983473,-0.0271009,0.179014,0.0326409,0.999073,-0.028074,-0.178087,0.0334532,0.983446
1713602429656626670,3.39946,0.129787,0.810971,-0.446659,3.41615,0.162395,0.144449,Three,0.983473,-0.0270555,0.179023,0.0325951,0.999074,-0.0280742,-0.178097,0.0334455,0.983444
1713602429662485943,3.39929,0.125391,0.811128,-0.435663,3.41612,0.158062,0.144438,Three,0.98347,-0.0270746,0.179037,0.032614,0.999074,-0.0280686,-0.178111,0.0334437,0.983442
1713602429673440217,3.41442,0.117329,0.814689,-0.39957,3.43186,0.15032,0.145024,Three,0.983473,-0.0270529,0.179024,0.0325947,0.999074,-0.0280869,-0.178098,0.0334579,0.983444
1713602429681639843,3.398,0.11058,0.811062,-0.381392,3.41525,0.143153,0.144116,Three,0.983471,-0.027054,0.179034,0.0325931,0.999074,-0.0280691,-0.178109,0.0334405,0.983442
1713602429687532289,3.38335,0.10584,0.807422,-0.379362,3.40032,0.138095,0.143026,Three,0.983472,-0.0270697,0.179024,0.0326091,0.999074,-0.0280719,-0.178098,0.0334457,0.983444
1713602429698754990,3.41355,0.0971359,0.814215,-0.332013,3.43146,0.13032,0.144092,Three,0.983474,-0.0271082,0.17901,0.0326514,0.999072,-0.0280919,-0.178083,0.0334726,0.983446
1713602429706700711,3.42522,0.0907045,0.816796,-0.289734,3.44356,0.124139,0.144551,Three,0.983485,-0.0270923,0.178951,0.0326351,0.999072,-0.0281024,-0.178023,0.0334784,0.983457
1713602429712556846,3.39537,0.0857789,0.810048,-0.315028,3.41313,0.11835,0.143053,Three,0.983485,-0.0270692,0.178954,0.0326152,0.999072,-0.0281216,-0.178027,0.0334938,0.983455
1713602429723242721,3.38008,0.077048,0.806576,-0.31706,3.3977,0.109374,0.142159,Three,0.983488,-0.0271122,0.178929,0.0326553,0.999071,-0.0281066,-0.178001,0.0334855,0.98346
1713602429731646737,3.40608,0.0702838,0.812381,-0.267713,3.42449,0.103273,0.143081,Three,0.983492,-0.0271055,0.17891,0.0326505,0.999071,-0.0281211,-0.177982,0.0334984,0.983463
1713602429737110020,3.40212,0.0656838,0.811758,-0.257463,3.42062,0.0985958,0.142843,Three,0.983483,-0.02711,0.178958,0.0326492,0.999072,-0.0280794,-0.178031,0.0334585,0.983456
1713602429748567566,3.35898,0.0561225,0.802623,-0.298558,3.37682,0.0879274,0.141051,Three,0.983474,-0.0271186,0.179006,0.0326581,0.999072,-0.0280713,-0.178079,0.0334534,0.983447
1713602429756681048,3.4046,0.0493706,0.813154,-0.233312,3.42376,0.0824651,0.14302,Three,0.983471,-0.0271445,0.179018,0.0326867,0.999071,-0.0280816,-0.17809,0.033469,0.983445
1713602429762431762,3.38806,0.0448696,0.809346,-0.241571,3.40693,0.0774489,0.14206,Three,0.983472,-0.0271197,0.17902,0.032662,0.999072,-0.0280842,-0.178093,0.0334672,0.983444
1713602429769598480,3.39035,0.0384564,0.810065,-0.240618,3.40948,0.0711749,0.142162,Three,0.983471,-0.0271443,0.179018,0.0326922,0.99907,-0.0281131,-0.178088,0.0335009,0.983444
1713602429776608699,3.41942,0.0323034,0.817054,-0.200338,3.43948,0.0658541,0.143658,Three,0.983471,-0.0271653,0.179017,0.0327134,0.999069,-0.0281131,-0.178086,0.0335046,0.983444
1713602429784238429,3.42038,0.0263168,0.817597,-0.219521,3.4407,0.0597578,0.143702,Three,0.983466,-0.0271261,0.179048,0.032674,0.999071,-0.0281089,-0.178119,0.0334944,0.983439
1713602429791771078,3.41602,0.0191505,0.816883,0.183049,3.43648,0.0525477,0.143537,Three,0.983466,-0.0271471,0.179049,0.0326963,0.99907,-0.0281144,-0.178119,0.0335037,0.983438
1713602429799146892,3.38872,0.0130022,0.810668,0.185942,3.40868,0.0457882,0.14213,Three,0.983467,-0.0271761,0.179036,0.0327229,0.999069,-0.0281015,-0.178105,0.0334955,0.983441
1713602429809738556,3.38664,0.00403865,0.81098,0.247385,3.40693,0.0369325,0.14255,Three,0.983468,-0.0272274,0.179025,0.0327736,0.999068,-0.0280955,-0.178093,0.0334984,0.983443
1713602429816672501,3.40781,-0.00195086,0.816113,0.210369,3.42883,0.0314373,0.143727,Three,0.983473,-0.0272113,0.178997,0.0327583,0.999068,-0.0281061,-0.178065,0.0335053,0.983448
1713602429822121110,3.38759,-0.00590385,0.811548,0.232768,3.40824,0.0269275,0.142616,Three,0.983469,-0.027202,0.179022,0.0327469,0.999069,-0.0280912,-0.178091,0.0334892,0.983444
1713602429833303176,3.38019,-0.0152477,0.810234,0.245697,3.40097,0.0174112,0.142331,Three,0.983469,-0.027207,0.17902,0.032745,0.99907,-0.0280529,-0.178091,0.0334512,0.983445
1713602429841638015,3.34309,-0.0214442,0.802218,0.299065,3.36321,0.0103344,0.140969,Three,0.983474,-0.0272387,0.178987,0.032776,0.999069,-0.0280529,-0.178056,0.0334557,0.983451
1713602429847473512,3.36324,-0.0264955,0.807168,0.282661,3.38405,0.00580996,0.142072,Three,0.983474,-0.0272379,0.178989,0.0327727,0.999069,-0.0280384,-0.178058,0.033441,0.983452
1713602429855051302,3.38836,-0.0331878,0.813342,0.267149,3.41005,-0.000204241,0.143411,Three,0.983472,-0.0272429,0.178998,0.0327751,0.99907,-0.0280217,-0.178068,0.0334252,0.98345
1713602429861774654,3.36607,-0.0382673,0.808758,0.297084,3.38744,-0.00583211,0.142675,Three,0.98347,-0.0272565,0.179007,0.0327879,0.99907,-0.0280143,-0.178077,0.0334204,0.983449
1713602429868497216,3.35412,-0.0435732,0.806322,0.320332,3.3754,-0.0114093,0.142192,Three,0.983468,-0.0272713,0.179019,0.0328069,0.999068,-0.0280345,-0.178087,0.0334441,0.983446
1713602429878351325,3.34901,-0.0511598,0.805924,0.351243,3.37051,-0.0190918,0.142488,Three,0.983469,-0.0272854,0.179009,0.0328154,0.999069,-0.0280037,-0.178078,0.033415,0.983449
1713602429886631485,3.37525,-0.0586406,0.812359,0.342476,3.39768,-0.0259416,0.14388,Three,0.983469,-0.0272679,0.179013,0.0327949,0.99907,-0.0279883,-0.178083,0.0333964,0.983449
1713602429893214971,3.3773,-0.0638834,0.813071,0.35776,3.39996,-0.0311765,0.143989,Three,0.983467,-0.0272556,0.179027,0.0327862,0.99907,-0.0280067,-0.178097,0.0334132,0.983445
1713602429904205509,3.40082,-0.0733188,0.819513,0.369461,3.42451,-0.040119,0.145749,Three,0.983464,-0.0272243,0.179046,0.032756,0.999071,-0.0280115,-0.178117,0.0334131,0.983442
1713602429911690029,3.39542,-0.0789511,0.818981,0.391889,3.41926,-0.0457569,0.145973,Three,0.983461,-0.0272686,0.179055,0.0328036,0.999069,-0.0280245,-0.178124,0.0334346,0.98344
