t,x,y,z,odom_yaw,cx,cy,cz,label,rot1,rot2,rot3,rot4,rot5,rot6,rot7,rot8,rot9
1714313218169166586,3.56664,-1.51766,-0.49911,0.351741,3.88879,-0.387093,-0.0280414,Three,0.947935,-0.295932,-0.117655,0.301827,0.952701,0.0355105,0.101581,-0.0691731,0.992419
1714313218175892216,3.60595,-1.55111,-0.504727,0.329702,3.93662,-0.407292,-0.0273257,Three,0.947935,-0.295932,-0.117657,0.301822,0.952705,0.0354525,0.1016,-0.069118,0.992421
1714313218182847349,3.62369,-1.57591,-0.507954,0.308737,3.96114,-0.425798,-0.0271513,Three,0.947947,-0.295906,-0.117626,0.301788,0.952717,0.0354035,0.101588,-0.0690588,0.992427
1714313218189598400,3.67592,-1.61539,-0.51551,0.317948,4.02321,-0.447936,-0.026817,Three,0.947954,-0.295903,-0.117579,0.30178,0.95272,0.0353903,0.101548,-0.0690313,0.992433
1714313218196122526,3.68678,-1.63664,-0.517532,0.232051,4.04006,-0.464747,-0.0262525,Three,0.947937,-0.295957,-0.117577,0.301837,0.952702,0.0354123,0.101536,-0.0690578,0.992432
1714313218202680321,3.73409,-1.67399,-0.524286,0.214915,4.09676,-0.486203,-0.0254596,Three,0.947928,-0.295976,-0.1176,0.301862,0.952692,0.0354545,0.101543,-0.0691074,0.992428
1714313218209323248,3.76114,-1.7024,-0.528305,0.158198,4.13128,-0.505369,-0.0246933,Three,0.947936,-0.295948,-0.117607,0.301837,0.952699,0.0354815,0.101543,-0.0691323,0.992426
1714313218216289935,3.77776,-1.72721,-0.531174,0.0928533,4.15469,-0.52422,-0.0241564,Three,0.947946,-0.295918,-0.117603,0.301806,0.952709,0.0354744,0.101544,-0.0691211,0.992427
1714313218223353680,3.78505,-1.7478,-0.532051,0.0280621,4.16781,-0.541629,-0.0229128,Three,0.947944,-0.295928,-0.117594,0.301813,0.952707,0.0354576,0.101539,-0.0691031,0.992429
1714313218230324768,3.78224,-1.76302,-0.532176,-0.0360152,4.16965,-0.557043,-0.0222587,Three,0.947949,-0.295913,-0.117596,0.301799,0.952712,0.0354562,0.101543,-0.069101,0.992428
1714313218236935969,3.81312,-1.79272,-0.536189,-0.0791056,4.20819,-0.576105,-0.0210786,Three,0.947945,-0.295927,-0.117589,0.301813,0.952707,0.0354681,0.101532,-0.0691117,0.992429
1714313218243652815,3.80008,-1.8016,-0.534403,-0.140491,4.19828,-0.588263,-0.02001,Three,0.947933,-0.295968,-0.117585,0.301858,0.952691,0.0355083,0.101513,-0.0691536,0.992428
1714313218250533857,3.83699,-1.83469,-0.539443,-0.183797,4.24368,-0.608598,-0.0190238,Three,0.947919,-0.296018,-0.117571,0.301911,0.952673,0.0355381,0.101487,-0.0691833,0.992428
