t,x,y,z,odom_yaw,cx,cy,cz,label,rot1,rot2,rot3,rot4,rot5,rot6,rot7,rot8,rot9
1714313189558534294,4.00309,-1.75573,-0.547212,0.891426,4.37926,-0.478185,-0.0138156,Three,0.947511,-0.297146,-0.118012,0.303011,0.952347,0.0349124,0.102015,-0.068839,0.992398
1714313189564172513,3.99138,-1.75178,-0.546137,0.889141,4.36686,-0.477951,-0.0143098,Three,0.947514,-0.297145,-0.11799,0.303009,0.952348,0.0349227,0.10199,-0.0688416,0.992401
1714313189569828443,3.92363,-1.72344,-0.536923,0.913564,4.29316,-0.471108,-0.0140855,Three,0.947512,-0.297158,-0.117976,0.303022,0.952343,0.034927,0.101975,-0.0688431,0.992402
1714313189577443598,3.95723,-1.74019,-0.542467,0.87859,4.33065,-0.476973,-0.0150022,Three,0.947505,-0.29718,-0.117977,0.303045,0.952336,0.0349338,0.101972,-0.0688523,0.992402
1714313189584173416,3.99185,-1.75717,-0.547803,0.844918,4.36912,-0.482888,-0.0155095,Three,0.947506,-0.297169,-0.117997,0.303035,0.952339,0.034931,0.101993,-0.0688545,0.992399
1714313189590920196,3.95472,-1.74224,-0.542627,0.855422,4.32888,-0.479848,-0.015104,Three,0.947511,-0.297145,-0.118016,0.303012,0.952347,0.0349278,0.102014,-0.0688548,0.992397
1714313189597753499,3.98897,-1.759,-0.54775,0.822822,4.3669,-0.485689,-0.0155323,Three,0.947517,-0.297126,-0.118018,0.302993,0.952353,0.0349254,0.102017,-0.068851,0.992397
1714313189604615856,3.99472,-1.76336,-0.548667,0.804066,4.37376,-0.488096,-0.0155116,Three,0.947513,-0.297134,-0.118027,0.303003,0.952349,0.0349363,0.102022,-0.068865,0.992396
1714313189611423087,3.98669,-1.7619,-0.547857,0.791756,4.36564,-0.489031,-0.0155115,Three,0.947505,-0.297149,-0.118052,0.303021,0.952343,0.0349491,0.102041,-0.0688867,0.992392
1714313189618103781,3.95368,-1.74911,-0.543157,0.79175,4.32999,-0.486777,-0.0151467,Three,0.947513,-0.297131,-0.118037,0.303004,0.952347,0.034976,0.10202,-0.068906,0.992393
1714313189624645905,3.95168,-1.75004,-0.543078,0.779164,4.32834,-0.488426,-0.0151991,Three,0.947524,-0.297095,-0.118037,0.302969,0.952358,0.0349875,0.102019,-0.0689132,0.992393
1714313189631538671,3.9449,-1.74896,-0.542377,0.762239,4.32151,-0.489474,-0.0151715,Three,0.947525,-0.297083,-0.118059,0.302959,0.952361,0.0349887,0.102041,-0.0689198,0.99239
1714313189638050622,3.90902,-1.73484,-0.537884,0.780819,4.28279,-0.486702,-0.0153544,Three,0.947522,-0.297093,-0.118058,0.302968,0.952358,0.0349885,0.102039,-0.0689202,0.99239
1714313189644749632,3.91077,-1.73733,-0.53811,0.761622,4.28522,-0.488484,-0.0152699,Three,0.947519,-0.297107,-0.118049,0.302983,0.952354,0.0349893,0.102029,-0.0689197,0.992391
1714313189651527398,3.93495,-1.75008,-0.541432,0.730905,4.31232,-0.493323,-0.0151546,Three,0.94751,-0.297127,-0.118065,0.303003,0.952347,0.0349812,0.102045,-0.0689191,0.99239
1714313189658213911,3.95543,-1.76097,-0.543928,0.684574,4.33526,-0.497583,-0.0146188,Three,0.947507,-0.297124,-0.118104,0.303003,0.952347,0.0349863,0.102081,-0.0689356,0.992385
1714313189664705334,3.93336,-1.75255,-0.541175,0.691633,4.31151,-0.496249,-0.0145025,Three,0.947508,-0.297098,-0.118153,0.302981,0.952354,0.0349915,0.102128,-0.068953,0.992379
1714313189671697585,3.86935,-1.72506,-0.533157,0.730534,4.24175,-0.489226,-0.0148601,Three,0.947509,-0.297087,-0.11818,0.302972,0.952357,0.0349956,0.102153,-0.0689639,0.992375
1714313189678601373,3.89121,-1.73616,-0.536556,0.682357,4.26615,-0.493317,-0.0151939,Three,0.94751,-0.29708,-0.118189,0.302966,0.952358,0.0350033,0.102159,-0.0689731,0.992374
1714313189685478709,3.90052,-1.74135,-0.537972,0.663795,4.27669,-0.495449,-0.0152881,Three,0.947506,-0.297091,-0.11819,0.302976,0.952355,0.0349944,0.102163,-0.0689663,0.992374
1714313189692172920,3.90763,-1.7455,-0.53932,0.626864,4.28482,-0.497275,-0.0155859,Three,0.947504,-0.297095,-0.118195,0.302982,0.952353,0.0350097,0.102162,-0.0689828,0.992373
1714313189698975670,3.8581,-1.72393,-0.533103,0.671766,4.23076,-0.4914,-0.01594,Three,0.947495,-0.297122,-0.118198,0.303012,0.952342,0.0350344,0.102156,-0.0690105,0.992372
1714313189706532238,3.84678,-1.7196,-0.531665,0.654139,4.21858,-0.490665,-0.0158839,Three,0.947495,-0.297118,-0.118217,0.303011,0.952342,0.0350481,0.102169,-0.0690288,0.992369
1714313189712616076,3.84742,-1.72021,-0.531898,0.629814,4.21939,-0.491125,-0.0159784,Three,0.947498,-0.297103,-0.118222,0.302998,0.952346,0.0350603,0.102171,-0.0690405,0.992368
1714313189718169444,3.86197,-1.72697,-0.53393,0.598982,4.23543,-0.493195,-0.0160459,Three,0.947496,-0.29711,-0.118222,0.303003,0.952345,0.0350457,0.102176,-0.0690274,0.992369
1714313189723882052,3.88123,-1.73574,-0.536873,0.552622,4.25662,-0.495854,-0.0164296,Three,0.9475,-0.297103,-0.118213,0.302996,0.952347,0.0350527,0.102166,-0.0690304,0.992369
1714313189729629574,3.84742,-1.72057,-0.532528,0.58875,4.21956,-0.491555,-0.01659,Three,0.947504,-0.297088,-0.118218,0.302983,0.952351,0.0350658,0.102167,-0.069043,0.992368
1714313189736520560,3.81975,-1.70825,-0.529392,0.595118,4.18932,-0.488064,-0.0170429,Three,0.947498,-0.297094,-0.118245,0.30299,0.952348,0.0350619,0.102194,-0.0690482,0.992365
1714313189743966285,3.81776,-1.70761,-0.529268,0.557689,4.18724,-0.487918,-0.0170654,Three,0.947486,-0.297122,-0.118271,0.30302,0.952339,0.035052,0.10222,-0.0690499,0.992362
1714313189751127951,3.80369,-1.70097,-0.527453,0.548889,4.17171,-0.485891,-0.0170058,Three,0.947489,-0.297099,-0.118307,0.302999,0.952346,0.0350593,0.102253,-0.0690652,0.992358
1714313189756764344,3.80133,-1.69981,-0.527052,0.530013,4.16909,-0.485412,-0.0169988,Three,0.947486,-0.297116,-0.118289,0.303016,0.95234,0.0350711,0.102231,-0.0690729,0.99236
1714313189762478648,3.79779,-1.69802,-0.526377,0.514709,4.16512,-0.484788,-0.0169911,Three,0.947492,-0.297113,-0.118247,0.303011,0.952342,0.0350704,0.102192,-0.069059,0.992365
1714313189768313484,3.77816,-1.6889,-0.523804,0.537381,4.1435,-0.481996,-0.0172041,Three,0.947498,-0.297107,-0.118217,0.303002,0.952345,0.0350619,0.102166,-0.069041,0.992369
1714313189776244243,3.74738,-1.67461,-0.51981,0.55828,4.10962,-0.477549,-0.0173455,Three,0.947495,-0.297112,-0.118224,0.303007,0.952343,0.03506,0.102173,-0.0690417,0.992368
1714313189783407150,3.76283,-1.68151,-0.522323,0.526474,4.12661,-0.47955,-0.0177075,Three,0.947495,-0.297105,-0.118243,0.303,0.952346,0.0350467,0.102196,-0.0690343,0.992366
1714313189789771771,3.74065,-1.671,-0.519824,0.515398,4.10219,-0.476077,-0.0181284,Three,0.947485,-0.297126,-0.118268,0.303021,0.95234,0.0350305,0.102223,-0.0690285,0.992364
1714313189795390411,3.74222,-1.67163,-0.519676,0.49738,4.10385,-0.476097,-0.0178951,Three,0.947481,-0.29715,-0.11824,0.303043,0.952333,0.0350298,0.102195,-0.0690219,0.992367
1714313189801163804,3.72081,-1.66172,-0.516751,0.478974,4.08029,-0.472904,-0.017794,Three,0.947469,-0.297183,-0.11826,0.303076,0.952323,0.0350141,0.102216,-0.0690165,0.992365
1714313189806798073,3.7205,-1.66155,-0.516741,0.483586,4.07995,-0.472843,-0.0177914,Three,0.947469,-0.297179,-0.11827,0.303072,0.952325,0.0350011,0.10223,-0.0690067,0.992364
1714313189812382002,3.72349,-1.66298,-0.517119,0.464522,4.08326,-0.473272,-0.0178221,Three,0.947467,-0.29719,-0.118253,0.303084,0.95232,0.035023,0.102206,-0.0690237,0.992366
1714313189817956163,3.70811,-1.65591,-0.515523,0.478412,4.0664,-0.471039,-0.0183084,Three,0.94746,-0.297215,-0.118252,0.303108,0.952313,0.0350194,0.102204,-0.0690225,0.992366
1714313189823540893,3.7028,-1.65333,-0.515059,0.432697,4.06056,-0.470156,-0.0185409,Three,0.947458,-0.297219,-0.118258,0.303113,0.952311,0.0350258,0.102208,-0.0690309,0.992365
1714313189829284290,3.69059,-1.64781,-0.513446,0.463976,4.04716,-0.468539,-0.0185144,Three,0.947456,-0.29722,-0.118269,0.303116,0.952309,0.0350408,0.102214,-0.069049,0.992363
1714313189836394101,3.67238,-1.63932,-0.512006,0.445001,4.02722,-0.465862,-0.0195212,Three,0.947451,-0.297235,-0.118272,0.303133,0.952304,0.0350497,0.102212,-0.0690599,0.992363
1714313189843421690,3.66151,-1.63437,-0.510089,0.437503,4.01523,-0.464323,-0.0192071,Three,0.94745,-0.297249,-0.11824,0.303144,0.9523,0.0350401,0.102184,-0.0690423,0.992367
1714313189850617915,3.66083,-1.63409,-0.509872,0.418885,4.01447,-0.464294,-0.0192061,Three,0.947457,-0.297241,-0.11821,0.303132,0.952305,0.0350221,0.102162,-0.0690152,0.992371
1714313189858435400,3.64025,-1.6252,-0.50763,0.392109,3.99205,-0.462107,-0.0196597,Three,0.947465,-0.297212,-0.118218,0.303104,0.952313,0.0350314,0.102169,-0.0690233,0.99237
1714313189865354291,3.63989,-1.6249,-0.507645,0.416623,3.99161,-0.462064,-0.0194948,Three,0.947469,-0.297177,-0.118275,0.303074,0.952322,0.0350433,0.102222,-0.0690484,0.992362
1714313189871940155,3.62505,-1.61774,-0.505808,0.424914,3.97518,-0.459846,-0.0195873,Three,0.947479,-0.297136,-0.118296,0.303036,0.952334,0.0350614,0.102239,-0.0690678,0.992359
1714313189878587359,3.62565,-1.61731,-0.505822,0.423156,3.97561,-0.459323,-0.019586,Three,0.947485,-0.29712,-0.118289,0.303021,0.952338,0.0350797,0.102229,-0.0690816,0.992359
1714313189885747122,3.60261,-1.60669,-0.502953,0.418306,3.95031,-0.455963,-0.0200022,Three,0.94748,-0.297154,-0.118244,0.303054,0.952327,0.0350961,0.102178,-0.0690873,0.992364
1714313189892750113,3.62431,-1.61576,-0.505808,0.46419,3.97391,-0.457968,-0.0202568,Three,0.947475,-0.297194,-0.11818,0.303089,0.952316,0.0350862,0.102118,-0.0690624,0.992372
1714313189899889185,3.6102,-1.6093,-0.503723,0.434328,3.95839,-0.455905,-0.020343,Three,0.947473,-0.297227,-0.118118,0.303114,0.95231,0.0350502,0.102067,-0.0690121,0.992381
1714313189905637973,3.61126,-1.60923,-0.503843,0.443803,3.9594,-0.455469,-0.0204732,Three,0.947472,-0.297241,-0.118088,0.303127,0.952305,0.0350633,0.102033,-0.0690171,0.992384
1714313189911424820,3.58186,-1.59549,-0.500304,0.419415,3.92704,-0.45121,-0.0208723,Three,0.947473,-0.297233,-0.118095,0.303121,0.952307,0.0350727,0.102038,-0.0690277,0.992383
1714313189917140620,3.59686,-1.60176,-0.502164,0.425053,3.94332,-0.45279,-0.0206711,Three,0.947478,-0.297209,-0.118115,0.303099,0.952313,0.0350819,0.102056,-0.0690399,0.99238
1714313189922989055,3.58217,-1.5947,-0.500368,0.401478,3.92707,-0.450648,-0.0207403,Three,0.94749,-0.297159,-0.118145,0.303053,0.952327,0.035105,0.102081,-0.069066,0.992376
1714313189929442244,3.59738,-1.60035,-0.502789,0.409934,3.94342,-0.451674,-0.021115,Three,0.947501,-0.297118,-0.118166,0.303013,0.95234,0.0351048,0.102104,-0.0690677,0.992373
1714313189936464876,3.58061,-1.5925,-0.500483,0.458014,3.92493,-0.449236,-0.0211377,Three,0.947505,-0.297109,-0.118157,0.302999,0.952346,0.0350579,0.10211,-0.0690189,0.992376
1714313189943151345,3.59729,-1.59904,-0.502495,0.395003,3.94291,-0.450504,-0.0211121,Three,0.947509,-0.297106,-0.118126,0.302992,0.952349,0.0350397,0.102086,-0.0689915,0.99238
1714313189949698865,3.57916,-1.59068,-0.499613,0.467378,3.92292,-0.447871,-0.0208428,Three,0.947509,-0.297124,-0.118084,0.303007,0.952344,0.0350423,0.102045,-0.0689833,0.992385
1714313189957533819,3.58175,-1.59069,-0.500407,0.442868,3.92547,-0.447066,-0.021418,Three,0.947506,-0.297139,-0.118069,0.303024,0.952338,0.0350675,0.102021,-0.0690043,0.992386
1714313189964720569,3.56754,-1.58425,-0.498552,0.393451,3.90989,-0.445056,-0.0214902,Three,0.947498,-0.297169,-0.118061,0.303056,0.952326,0.0350946,0.102004,-0.0690312,0.992386
1714313189971613385,3.58194,-1.58978,-0.501012,0.39556,3.92547,-0.445989,-0.0221394,Three,0.947496,-0.297183,-0.118045,0.30307,0.952321,0.0351109,0.101983,-0.0690435,0.992387
1714313189979429884,3.58173,-1.58957,-0.501115,0.440727,3.92521,-0.445916,-0.022263,Three,0.9475,-0.297168,-0.118048,0.303057,0.952325,0.0351149,0.101985,-0.0690466,0.992387
1714313189986843710,3.58123,-1.58853,-0.501043,0.447475,3.9244,-0.445254,-0.0222586,Three,0.947512,-0.297124,-0.11806,0.303014,0.952338,0.0351261,0.101996,-0.0690562,0.992385
1714313189994541194,3.59158,-1.59277,-0.502501,0.475416,3.93564,-0.446216,-0.0223211,Three,0.947512,-0.297121,-0.118067,0.303014,0.952338,0.0351447,0.101997,-0.0690759,0.992384
1714313190001757825,3.57718,-1.58624,-0.500639,0.370092,3.91985,-0.444224,-0.0223847,Three,0.947507,-0.297138,-0.118068,0.303032,0.952332,0.0351569,0.101993,-0.0690897,0.992383
1714313190009012277,3.61098,-1.60072,-0.505247,0.386904,3.95673,-0.447857,-0.0225982,Three,0.947503,-0.297158,-0.118045,0.303051,0.952325,0.0351641,0.101968,-0.0690918,0.992385
1714313190016104446,3.60136,-1.59622,-0.504065,0.386989,3.94613,-0.446485,-0.0228287,Three,0.947509,-0.29715,-0.118017,0.303041,0.952328,0.0351635,0.101942,-0.0690818,0.992389
1714313190022909250,3.60707,-1.59807,-0.504942,0.427281,3.95218,-0.44664,-0.0229913,Three,0.947516,-0.297128,-0.118018,0.303018,0.952337,0.0351482,0.101949,-0.0690649,0.992389
1714313190029913683,3.60897,-1.59852,-0.50537,0.379406,3.95417,-0.44647,-0.0231625,Three,0.947512,-0.297138,-0.118027,0.303026,0.952334,0.0351338,0.101961,-0.0690549,0.992389
1714313190036489712,3.6159,-1.60095,-0.506287,0.356291,3.96156,-0.44676,-0.0231852,Three,0.947515,-0.297127,-0.118029,0.303016,0.952337,0.035138,0.101963,-0.0690585,0.992388
1714313190043408568,3.63189,-1.60741,-0.508591,0.360615,3.9789,-0.448213,-0.0233052,Three,0.947518,-0.297109,-0.118049,0.303002,0.952341,0.0351566,0.101978,-0.0690807,0.992385
1714313190050172454,3.64337,-1.61226,-0.510544,0.378946,3.99144,-0.44944,-0.0236654,Three,0.947518,-0.297105,-0.118064,0.303001,0.95234,0.0351863,0.101983,-0.0691131,0.992382
1714313190057342303,3.64427,-1.61189,-0.510376,0.500755,3.99216,-0.448855,-0.0234546,Three,0.947522,-0.297094,-0.118058,0.30299,0.952344,0.0351871,0.101978,-0.0691109,0.992383
1714313190064390062,3.65779,-1.61709,-0.511562,0.31544,4.00665,-0.449789,-0.0229126,Three,0.947525,-0.297085,-0.118054,0.302979,0.952348,0.035177,0.101978,-0.0690991,0.992384
1714313190071204456,3.66007,-1.61743,-0.512046,0.339008,4.00896,-0.449485,-0.0231738,Three,0.947529,-0.297075,-0.118046,0.302968,0.952352,0.0351646,0.101975,-0.0690837,0.992385
1714313190078050709,3.67739,-1.62405,-0.514471,0.334018,4.02764,-0.450585,-0.0233092,Three,0.947524,-0.297085,-0.11806,0.302977,0.95235,0.0351475,0.101992,-0.0690726,0.992384
1714313190085590401,3.69269,-1.63022,-0.516766,0.330867,4.04423,-0.4519,-0.0236547,Three,0.947526,-0.297085,-0.118048,0.302976,0.95235,0.0351375,0.101984,-0.0690594,0.992386
1714313190092433277,3.69691,-1.63118,-0.517206,0.280654,4.04857,-0.451537,-0.0236624,Three,0.947526,-0.297091,-0.11803,0.302981,0.952348,0.0351455,0.101965,-0.0690623,0.992388
