t,x,y,z,odom_yaw,cx,cy,cz,label,rot1,rot2,rot3,rot4,rot5,rot6,rot7,rot8,rot9
1714322807661969583,3.7188,-0.119593,-0.484183,-0.023497,3.74959,-0.117019,-0.0711701,Three,0.993982,-0.00114676,-0.109535,0.00374453,0.999717,0.0235137,0.109477,-0.0237823,0.993705
1714322807703156506,3.87766,0.0242601,-0.499954,0.205725,3.90907,0.0268286,-0.0728102,Three,0.993981,-0.00109885,-0.109549,0.00370177,0.999716,0.0235598,0.109492,-0.0238235,0.993702
1714322807709873386,3.95162,0.0491504,-0.508323,0.383113,3.98347,0.0517602,-0.073551,Three,0.993979,-0.00109132,-0.109567,0.00369454,0.999716,0.023559,0.10951,-0.023822,0.9937
1714322807715994788,3.95145,0.0681707,-0.506711,0.489938,3.9831,0.0708409,-0.0724061,Three,0.993978,-0.00109835,-0.10957,0.00370158,0.999716,0.023558,0.109513,-0.0238217,0.9937
1714322807722684550,3.94058,0.0874827,-0.503345,0.598832,3.9719,0.0902463,-0.0707706,Three,0.99398,-0.00111372,-0.109556,0.00371615,0.999716,0.023553,0.109499,-0.0238183,0.993702
1714322807729460067,4.02622,0.107678,-0.512015,0.674156,4.05796,0.11053,-0.070545,Three,0.993982,-0.00110903,-0.109542,0.00370947,0.999716,0.0235384,0.109485,-0.0238031,0.993703
1714322807736295972,4.08332,0.126396,-0.517506,0.762806,4.11529,0.129344,-0.07027,Three,0.993984,-0.00111337,-0.109523,0.00371109,0.999717,0.0235175,0.109466,-0.0237825,0.993706
1714322807736295972,4.1095,-0.241144,-0.526838,-0.577753,4.14274,-0.238215,-0.0679374,Three,0.993984,-0.00111337,-0.109523,0.00371109,0.999717,0.0235175,0.109466,-0.0237825,0.993706
1714322807743113388,3.95279,-0.218115,-0.508163,-0.5278,3.9849,-0.215371,-0.0670755,Three,0.993984,-0.00110417,-0.109524,0.00370275,0.999716,0.0235256,0.109467,-0.0237896,0.993706
1714322807749692866,4.01285,-0.206742,-0.517467,-0.397846,4.04561,-0.20408,-0.0699327,Three,0.993981,-0.00108398,-0.109543,0.00368508,0.999716,0.0235453,0.109487,-0.0238073,0.993703
1714322807757477724,3.97932,-0.187123,-0.515223,-0.277497,4.01201,-0.184617,-0.0718156,Three,0.993981,-0.00106392,-0.109549,0.00366504,0.999716,0.0235452,0.109493,-0.023805,0.993702
1714322807764521209,3.89689,-0.165813,-0.505647,-0.226147,3.92901,-0.163438,-0.0718344,Three,0.993981,-0.00105133,-0.109549,0.00365245,0.999716,0.023546,0.109493,-0.0238044,0.993703
1714322807771886582,3.88064,-0.146699,-0.504402,-0.080214,3.9127,-0.14434,-0.0728955,Three,0.993983,-0.00105728,-0.109532,0.00366007,0.999716,0.0235645,0.109476,-0.0238236,0.993704
1714322807779439592,3.70251,-0.119438,-0.481428,-0.0133561,3.73309,-0.117243,-0.0702936,Three,0.993985,-0.00104616,-0.10951,0.00365138,0.999715,0.0235919,0.109454,-0.0238499,0.993706
1714322807786154872,3.88409,-0.112365,-0.504759,-0.133503,3.91612,-0.110076,-0.0737692,Three,0.993985,-0.00104231,-0.10951,0.00365017,0.999714,0.0236162,0.109454,-0.0238739,0.993705
1714322807825858212,3.94853,-0.00726977,-0.507358,0.327029,3.98035,-0.0046867,-0.0718537,Three,0.993986,-0.00108048,-0.109499,0.00368915,0.999714,0.0236238,0.109443,-0.0238857,0.993706
1714322807831387311,3.97626,0.00675491,-0.509748,0.429116,4.00816,0.00941515,-0.0714057,Three,0.993983,-0.00108828,-0.10953,0.0036959,0.999714,0.0236071,0.109473,-0.0238699,0.993703
1714322807839701490,3.96998,0.0246435,-0.506743,0.532329,4.00157,0.0273846,-0.0695822,Three,0.993984,-0.00109801,-0.109518,0.00370463,0.999715,0.0236001,0.109461,-0.0238639,0.993705
1714322807847525756,4.01635,0.0412645,-0.511337,0.632123,4.04814,0.0440518,-0.069492,Three,0.993985,-0.00109529,-0.109513,0.00370297,0.999714,0.0236112,0.109455,-0.0238747,0.993705
1714322807854110820,4.09245,0.0549145,-0.519558,0.704505,4.12467,0.0577479,-0.069628,Three,0.993984,-0.00108614,-0.10952,0.00369523,0.999714,0.0236229,0.109463,-0.0238855,0.993704
1714322807854110820,4.07193,-0.311973,-0.524565,-0.683573,4.10522,-0.309229,-0.0680863,Three,0.993984,-0.00108614,-0.10952,0.00369523,0.999714,0.0236229,0.109463,-0.0238855,0.993704
1714322807860924530,4.06523,-0.293872,-0.525669,-0.58001,4.09866,-0.291179,-0.0702838,Three,0.993982,-0.0010871,-0.109535,0.0036975,0.999714,0.0236314,0.109478,-0.0238942,0.993702
1714322807867689201,4.02697,-0.272139,-0.522434,-0.485299,4.06025,-0.269494,-0.0717836,Three,0.993982,-0.00109288,-0.109534,0.00370306,0.999714,0.0236293,0.109477,-0.0238927,0.993702
1714322807874831728,3.94977,-0.245813,-0.514049,-0.401825,3.98258,-0.243292,-0.0725988,Three,0.993984,-0.00108605,-0.109516,0.00369627,0.999714,0.0236339,0.109459,-0.0238965,0.993704
1714322807881556640,3.94681,-0.224565,-0.514946,-0.289335,3.9797,-0.222043,-0.0743805,Three,0.993986,-0.00109631,-0.109503,0.00370518,0.999714,0.0236241,0.109445,-0.0238878,0.993706
