t,x,y,z,odom_yaw,cx,cy,cz,label,rot1,rot2,rot3,rot4,rot5,rot6,rot7,rot8,rot9
1713619299324947888,3.48831,-0.00172431,0.907894,-0.0140187,3.59083,0.232521,0.210962,Two,0.977989,-0.0677374,0.197353,0.0755111,0.996627,-0.0321255,-0.194512,0.0463207,0.979806
1713619299332022547,3.5025,-0.00633774,0.911544,-0.0150162,3.60573,0.228897,0.211614,Two,0.977991,-0.0677437,0.197341,0.0755175,0.996627,-0.032129,-0.194499,0.0463245,0.979808
1713619299341067113,3.50841,-0.0122383,0.913832,-0.0562027,3.61234,0.223577,0.212495,Two,0.977991,-0.0677974,0.197327,0.0755729,0.996622,-0.0321355,-0.194482,0.0463407,0.979811
1713619299348633308,3.52282,-0.0171256,0.91818,-0.0217869,3.62762,0.219813,0.213637,Two,0.977982,-0.0678405,0.197353,0.0756201,0.996618,-0.0321458,-0.194505,0.0463619,0.979805
1713619299357780609,3.54537,-0.0230426,0.925031,0.0203675,3.65144,0.215396,0.215632,Two,0.977979,-0.0678391,0.197369,0.0756218,0.996618,-0.0321574,-0.19452,0.0463746,0.979802
1713619299365236039,3.55502,-0.0275498,0.927624,-0.0663737,3.66169,0.21149,0.21614,Two,0.977983,-0.0678229,0.197354,0.0756039,0.996619,-0.0321542,-0.194506,0.0463671,0.979805
1713619299374142142,3.57866,-0.0333169,0.934528,0.0251415,3.68658,0.207061,0.218008,Two,0.977987,-0.0677548,0.197359,0.0755338,0.996625,-0.0321495,-0.194514,0.046349,0.979804
1713619299381592588,3.59563,-0.0381867,0.939273,0.0618774,3.70445,0.20322,0.219087,Two,0.977987,-0.0677232,0.19737,0.0755041,0.996627,-0.0321592,-0.194526,0.0463535,0.979801
1713619299390628205,3.60726,-0.0437907,0.943329,0.126434,3.71701,0.198376,0.220502,Two,0.977986,-0.0677199,0.197378,0.0754985,0.996628,-0.0321464,-0.194536,0.0463405,0.9798
1713619299397850616,3.61514,-0.0480008,0.945563,-0.182222,3.72543,0.194752,0.220998,Two,0.977986,-0.0677333,0.19737,0.0755109,0.996627,-0.0321416,-0.194527,0.0463376,0.979802
1713619299406776992,3.64119,-0.053806,0.953032,-0.212279,3.75278,0.190678,0.222956,Two,0.977985,-0.0677295,0.197376,0.075509,0.996627,-0.03215,-0.194533,0.0463459,0.9798
1713619299414710464,3.70613,-0.0595635,0.970843,-0.15909,3.82021,0.189145,0.227467,Two,0.977986,-0.0676955,0.197385,0.0754737,0.99663,-0.0321449,-0.194544,0.0463346,0.979799
