t,x,y,z,odom_yaw,cx,cy,cz,label,rot1,rot2,rot3,rot4,rot5,rot6,rot7,rot8,rot9
1714313103000746984,3.90135,-0.991601,-0.520981,0.9655,4.05193,0.234118,-0.0477266,Three,0.946336,-0.300507,-0.118929,0.306496,0.951216,0.0353216,0.102513,-0.0698774,0.992274
1714313103006706815,3.93333,-1.00385,-0.525776,0.932534,4.08644,0.232158,-0.048446,Three,0.946334,-0.300523,-0.118904,0.306506,0.951215,0.0352835,0.1025,-0.0698349,0.992279
1714313103012689469,3.96281,-1.01564,-0.530294,0.898946,4.11842,0.229823,-0.0490518,Three,0.946333,-0.300523,-0.118912,0.306506,0.951215,0.0352764,0.102509,-0.0698304,0.992278
1714313103019335203,3.93944,-1.01412,-0.528067,0.879387,4.09558,0.224158,-0.049256,Three,0.946333,-0.300515,-0.118934,0.306502,0.951215,0.0353,0.102524,-0.0698591,0.992274
1714313103025985192,3.93476,-1.01768,-0.528343,0.851937,4.09225,0.219355,-0.0496821,Three,0.946328,-0.30052,-0.118955,0.306511,0.951212,0.0353211,0.102536,-0.0698862,0.992271
1714313103032429768,3.90075,-1.01362,-0.523953,0.841965,4.05833,0.212985,-0.0490983,Three,0.946325,-0.30053,-0.118954,0.30652,0.951209,0.0353165,0.102537,-0.0698828,0.992271
1714313103039056589,3.94882,-1.03111,-0.531391,0.787675,4.10996,0.210799,-0.0503006,Three,0.946327,-0.300523,-0.11896,0.306512,0.951212,0.0353099,0.102545,-0.0698775,0.992271
1714313103045808732,3.92358,-1.02968,-0.52853,0.771035,4.0853,0.204453,-0.0502342,Three,0.946334,-0.300508,-0.118939,0.306496,0.951217,0.0353117,0.102526,-0.0698711,0.992273
1714313103052450359,3.94273,-1.03992,-0.531985,0.732526,4.10692,0.200459,-0.0509814,Three,0.946334,-0.300509,-0.11894,0.306499,0.951215,0.0353219,0.102523,-0.0698814,0.992273
1714313103059147530,3.88557,-1.03,-0.525087,0.729816,4.04902,0.192711,-0.0505775,Three,0.946324,-0.300528,-0.118969,0.30652,0.951209,0.035326,0.102548,-0.0698962,0.992269
1714313103066372162,3.92273,-1.04561,-0.530823,0.677482,4.08956,0.18909,-0.0513204,Three,0.94632,-0.300537,-0.118981,0.306532,0.951204,0.0353386,0.102555,-0.0699132,0.992267
1714313103073478895,3.92076,-1.05081,-0.530972,0.640675,4.08928,0.18344,-0.0513321,Three,0.946328,-0.300514,-0.118974,0.306507,0.951212,0.0353324,0.102552,-0.0699024,0.992269
1714313103080311261,3.88208,-1.0461,-0.52647,0.628319,4.05073,0.176099,-0.0512307,Three,0.946339,-0.300488,-0.118955,0.306477,0.951223,0.0353126,0.102542,-0.0698746,0.992272
1714313103087356861,3.90925,-1.05933,-0.53096,0.55963,4.08095,0.171626,-0.051936,Three,0.946342,-0.300472,-0.118964,0.306463,0.951227,0.0353204,0.102549,-0.0698834,0.99227
1714313103094270548,3.87761,-1.05653,-0.52778,0.554036,4.04979,0.164782,-0.0522051,Three,0.946336,-0.300492,-0.118969,0.306483,0.95122,0.0353247,0.102551,-0.0698911,0.992269
1714313103101265172,3.82937,-1.04922,-0.521496,0.56029,4.00119,0.157197,-0.0514834,Three,0.946336,-0.300497,-0.118956,0.306488,0.951219,0.0353272,0.102537,-0.0698899,0.992271
1714313103107928187,3.83378,-1.05629,-0.522532,0.511788,4.00761,0.15179,-0.0515712,Three,0.946336,-0.300498,-0.118955,0.306491,0.951217,0.0353473,0.10253,-0.069909,0.99227
1714313103114530093,3.78224,-1.04771,-0.516251,0.513892,3.95551,0.144346,-0.0511922,Three,0.946337,-0.30049,-0.118963,0.306485,0.951218,0.0353632,0.102533,-0.0699259,0.992269
1714313103121358272,3.77135,-1.05055,-0.515691,0.487808,3.946,0.138373,-0.0515287,Three,0.946333,-0.300501,-0.118969,0.306494,0.951216,0.0353439,0.102544,-0.0699104,0.992269
1714313103128094398,3.77626,-1.05785,-0.516861,0.444641,3.95297,0.132871,-0.0516574,Three,0.946334,-0.300496,-0.118973,0.306489,0.951218,0.0353358,0.102551,-0.0699035,0.992268
1714313103134587344,3.7795,-1.06455,-0.517972,0.342679,3.95819,0.12746,-0.0520056,Three,0.946334,-0.300499,-0.118961,0.306491,0.951218,0.0353288,0.102542,-0.0698933,0.99227
1714313103141635615,3.74287,-1.06065,-0.513132,0.363256,3.92177,0.120219,-0.0512684,Three,0.946328,-0.300523,-0.118952,0.306511,0.951212,0.0352973,0.102541,-0.069863,0.992272
1714313103148480953,3.72131,-1.06091,-0.510864,0.327491,3.90117,0.113599,-0.0512536,Three,0.946317,-0.300562,-0.118942,0.306546,0.951202,0.0352613,0.102539,-0.0698294,0.992275
1714313103154980600,3.6766,-1.05379,-0.504808,0.353829,3.85599,0.106944,-0.0503803,Three,0.946313,-0.300579,-0.118928,0.30656,0.951198,0.035247,0.10253,-0.0698133,0.992277
1714313103161424809,3.65615,-1.05359,-0.502687,0.385511,3.83633,0.100935,-0.050373,Three,0.946313,-0.300577,-0.118931,0.306558,0.951199,0.0352423,0.102535,-0.0698096,0.992277
1714313103167943561,3.66052,-1.06087,-0.503766,0.270519,3.84278,0.0952478,-0.0505009,Three,0.946319,-0.300561,-0.118927,0.306538,0.951207,0.0352125,0.10254,-0.0697778,0.992278
1714313103174765994,3.60678,-1.05107,-0.497521,0.340651,3.78824,0.0882968,-0.0505885,Three,0.946323,-0.300558,-0.118903,0.306533,0.951208,0.0352108,0.102518,-0.0697684,0.992281
1714313103181625152,3.35041,-0.982262,-0.464071,0.650086,3.52098,0.0763684,-0.0485772,Three,0.946323,-0.300568,-0.118876,0.306544,0.951204,0.0352296,0.102486,-0.0697793,0.992284
1714313103188649325,3.5706,-1.05278,-0.493878,0.431306,3.75408,0.0757429,-0.0507395,Three,0.946325,-0.300571,-0.118857,0.306545,0.951204,0.0352214,0.10247,-0.0697657,0.992287
1714313103195627390,3.56365,-1.0566,-0.493197,0.395925,3.74857,0.0699103,-0.0506,Three,0.946335,-0.300548,-0.118832,0.30652,0.951212,0.0352226,0.102448,-0.0697567,0.992289
