t,x,y,z,odom_yaw,cx,cy,cz,label,rot1,rot2,rot3,rot4,rot5,rot6,rot7,rot8,rot9
1714325885315501213,0,0,0,-0,3.85314,-0.00636361,-0.0750957,Three,6.94917e-310,9.19456e-321,6.94917e-310,1.2209e-314,6.94917e-310,6.94917e-310,9.88131e-324,0,6.94917e-310
1714325885328486368,0,0,0,-0,3.83097,-0.0127579,-0.0742708,Three,6.94917e-310,9.19456e-321,6.94917e-310,1.2209e-314,6.94917e-310,6.94917e-310,9.88131e-324,0,6.94917e-310
1714325885334913093,3.80285,-0.369987,-0.513286,-0.313048,3.85439,-0.0161162,-0.0740456,Three,0.989165,-0.0925165,-0.113985,0.0959543,0.995071,0.0250402,0.111107,-0.0357063,0.993167
1714325885416780994,3.89624,-0.424642,-0.52121,-0.576346,3.95271,-0.06195,-0.0699413,Three,0.98918,-0.0924678,-0.113894,0.0959107,0.995073,0.0251179,0.11101,-0.0357698,0.993175
1714325885423079267,3.90532,-0.429262,-0.521856,-0.599619,3.96219,-0.0657171,-0.069543,Three,0.989185,-0.092463,-0.11386,0.0959041,0.995074,0.0251126,0.110978,-0.0357607,0.993179
1714325885429528255,3.90848,-0.433477,-0.522331,-0.622877,3.96576,-0.069524,-0.0695533,Three,0.989184,-0.0924871,-0.113851,0.0959257,0.995072,0.025092,0.11097,-0.0357418,0.993181
1714325885436238615,3.88123,-0.434201,-0.518482,-0.654353,3.93843,-0.0726785,-0.0687568,Three,0.989182,-0.0925083,-0.113845,0.0959463,0.99507,0.0250881,0.110963,-0.0357397,0.993182
1714325885449635068,3.97289,-0.0856788,-0.52203,0.739116,3.99728,0.282712,-0.074621,Three,0.989187,-0.092479,-0.11383,0.0959165,0.995073,0.0250893,0.110949,-0.0357362,0.993183
1714325885456241031,3.97766,-0.0885336,-0.522978,0.711769,4.00236,0.280312,-0.0748809,Three,0.989185,-0.0924804,-0.113842,0.0959171,0.995073,0.0250789,0.110962,-0.0357271,0.993182
1714325885462272762,3.98897,-0.0909581,-0.524843,0.688157,4.01399,0.278969,-0.0753802,Three,0.989184,-0.0924882,-0.113846,0.0959261,0.995072,0.0250881,0.110964,-0.0357375,0.993182
1714325885468868735,3.90727,-0.0914342,-0.514886,0.688021,3.93208,0.27093,-0.0744816,Three,0.989182,-0.0924933,-0.11386,0.0959308,0.995072,0.0250794,0.110979,-0.0357308,0.99318
1714325885475585153,3.86981,-0.0929363,-0.510374,0.678447,3.89466,0.26597,-0.0740492,Three,0.98918,-0.0924961,-0.113873,0.0959322,0.995072,0.0250629,0.110994,-0.0357158,0.993179
1714325885482862142,3.95315,-0.0975569,-0.522104,0.617941,3.97886,0.269073,-0.0762403,Three,0.989179,-0.092496,-0.113885,0.095934,0.995072,0.0250762,0.111004,-0.0357303,0.993177
1714325885490033119,3.92134,-0.0991928,-0.518405,0.605115,3.94712,0.264523,-0.0759834,Three,0.989176,-0.0925051,-0.113901,0.0959465,0.99507,0.0251002,0.111017,-0.0357569,0.993175
1714325885497037098,3.85811,-0.100133,-0.510469,0.604836,3.88375,0.257815,-0.0750731,Three,0.989173,-0.0925294,-0.113905,0.0959707,0.995068,0.025096,0.111021,-0.0357558,0.993175
1714325885503845565,3.90257,-0.103366,-0.516707,0.562845,3.92873,0.258759,-0.076199,Three,0.989172,-0.0925419,-0.113909,0.0959824,0.995067,0.0250878,0.111026,-0.0357495,0.993174
1714325885510624919,3.98428,-0.108067,-0.528312,0.495508,4.01131,0.261687,-0.0784582,Three,0.98917,-0.092555,-0.113916,0.0959953,0.995066,0.0250827,0.111032,-0.0357465,0.993174
1714325885517429296,3.9387,-0.109134,-0.522629,0.490535,3.96568,0.25645,-0.0778187,Three,0.989168,-0.0925691,-0.11392,0.0960082,0.995065,0.0250702,0.111037,-0.0357359,0.993174
1714325885524364341,3.90063,-0.110231,-0.517881,0.480025,3.92758,0.251845,-0.0773205,Three,0.989168,-0.0925748,-0.113912,0.0960123,0.995065,0.0250576,0.11103,-0.0357231,0.993175
1714325885531843481,3.89856,-0.112839,-0.517812,0.451613,3.92576,0.249076,-0.0773385,Three,0.989166,-0.09258,-0.113924,0.0960157,0.995065,0.0250376,0.111044,-0.0357048,0.993174
1714325885538620689,3.91145,-0.11544,-0.51971,0.423257,3.93897,0.247699,-0.0776281,Three,0.989164,-0.0925849,-0.113942,0.0960207,0.995065,0.0250326,0.111062,-0.0357021,0.993172
1714325885545395907,3.90229,-0.117699,-0.51906,0.398227,3.93004,0.244607,-0.0779487,Three,0.989164,-0.0925899,-0.113935,0.0960272,0.995064,0.0250476,0.111054,-0.0357171,0.993172
1714325885551875102,3.89454,-0.119729,-0.518712,0.368392,3.92252,0.241946,-0.0783842,Three,0.989162,-0.0926139,-0.113938,0.0960523,0.995061,0.0250555,0.111055,-0.035728,0.993172
1714325885557588931,3.90066,-0.121939,-0.519546,0.333648,3.92888,0.240212,-0.078511,Three,0.989166,-0.092589,-0.113924,0.0960279,0.995063,0.0250664,0.11104,-0.0357347,0.993173
1714325885563137157,3.91615,-0.124627,-0.521572,0.310673,3.94468,0.238964,-0.0788358,Three,0.989169,-0.0925876,-0.113892,0.0960267,0.995063,0.0250779,0.111008,-0.035743,0.993177
1714325885571003153,3.87802,-0.126584,-0.516824,0.294742,3.90659,0.233476,-0.0783602,Three,0.989171,-0.0925891,-0.113873,0.0960292,0.995062,0.0250929,0.110988,-0.0357564,0.993178
1714325885577917295,3.88659,-0.130264,-0.518921,-0.177015,3.91565,0.230713,-0.0793766,Three,0.989169,-0.0926221,-0.11387,0.0960621,0.995059,0.0250912,0.110983,-0.035758,0.993179
1714325885583612112,3.84759,-0.130977,-0.513775,0.276362,3.87655,0.226391,-0.0785654,Three,0.989169,-0.0926232,-0.113871,0.0960625,0.995059,0.0250856,0.110984,-0.0357525,0.993179
1714325885589020915,3.87104,-0.134553,-0.517387,0.198064,3.90049,0.225,-0.0793313,Three,0.989166,-0.092624,-0.113895,0.0960666,0.995058,0.0251071,0.111007,-0.0357766,0.993175
1714325885603108929,3.83755,-0.140145,-0.513094,0.148934,3.86739,0.216312,-0.0786541,Three,0.989168,-0.0926215,-0.113878,0.0960658,0.995058,0.0251273,0.110988,-0.0357949,0.993177
1714325885613681246,3.81346,-0.144619,-0.510236,0.136743,3.84365,0.209532,-0.0784256,Three,0.989173,-0.0926005,-0.113854,0.0960468,0.995059,0.0251545,0.110962,-0.0358174,0.993179
1714325885622098278,3.79532,-0.148977,-0.508028,0.0817033,3.82587,0.203537,-0.078069,Three,0.989172,-0.092607,-0.113857,0.0960485,0.99506,0.0251102,0.110969,-0.0357741,0.99318
1714325885627027447,3.78944,-0.151604,-0.507085,-0.0280572,3.82019,0.200365,-0.0777339,Three,0.989173,-0.092603,-0.113846,0.0960448,0.99506,0.0251169,0.110958,-0.0357794,0.993181
1714325885632259730,3.75388,-0.153193,-0.502405,0.125235,3.78463,0.195444,-0.0769554,Three,0.989174,-0.0925919,-0.113852,0.0960355,0.995061,0.0251312,0.110962,-0.0357929,0.99318
1714325885639055124,3.76308,-0.158038,-0.504053,0.0860243,3.79435,0.191563,-0.0774183,Three,0.989172,-0.0926171,-0.113845,0.0960556,0.99506,0.0250858,0.110959,-0.0357497,0.993182
1714325885645286995,3.75163,-0.161668,-0.5028,0.0455298,3.78322,0.1869,-0.0771888,Three,0.989168,-0.0926204,-0.113878,0.0960583,0.99506,0.0250707,0.110993,-0.035738,0.993178
1714325885650815517,3.75056,-0.164769,-0.502745,0.0576265,3.78245,0.183633,-0.0771732,Three,0.989171,-0.0925997,-0.113869,0.0960393,0.995061,0.025089,0.110984,-0.0357533,0.993179
1714325885658312807,3.73504,-0.169374,-0.500801,0.0209265,3.7673,0.177741,-0.076861,Three,0.989169,-0.0926352,-0.113855,0.0960743,0.995058,0.0250882,0.110968,-0.035755,0.993181
1714325885665031115,3.73471,-0.17367,-0.500821,0.0421396,3.76736,0.173459,-0.0768623,Three,0.989172,-0.0926426,-0.113828,0.0960795,0.995058,0.0250757,0.110943,-0.0357407,0.993184
1714325885671629776,3.73394,-0.178002,-0.500219,0.0302201,3.76693,0.169121,-0.0763025,Three,0.989174,-0.0926522,-0.1138,0.0960885,0.995057,0.025079,0.110914,-0.0357424,0.993187
1714325885678211790,3.73353,-0.182349,-0.499746,0.0441621,3.76688,0.164826,-0.0757744,Three,0.989174,-0.0926677,-0.113787,0.0961035,0.995055,0.0250776,0.1109,-0.0357414,0.993189
1714325885684920713,3.73158,-0.18716,-0.499815,0.0795477,3.7654,0.159949,-0.0758396,Three,0.98917,-0.0926935,-0.1138,0.0961289,0.995053,0.0250686,0.110913,-0.0357366,0.993187
1714325885691067995,3.7209,-0.190681,-0.498189,0.0414311,3.75497,0.155378,-0.0752838,Three,0.989172,-0.092672,-0.1138,0.096108,0.995055,0.0250757,0.110913,-0.0357413,0.993187
1714325885696812298,3.71141,-0.193894,-0.497072,-0.0070255,3.74576,0.151261,-0.0750841,Three,0.989172,-0.0926622,-0.113806,0.0960975,0.995056,0.0250678,0.110921,-0.0357329,0.993187
1714325885702723840,3.71175,-0.198049,-0.497518,0.00162468,3.74654,0.147019,-0.0753611,Three,0.989176,-0.0926284,-0.113801,0.0960658,0.995059,0.0250907,0.110914,-0.0357514,0.993187
1714325885708279810,3.71842,-0.202095,-0.498404,0.0791716,3.75361,0.14354,-0.0753149,Three,0.989177,-0.0926094,-0.113812,0.0960486,0.99506,0.0251041,0.110925,-0.0357638,0.993185
1714325885713773824,3.72797,-0.206011,-0.499876,0.0842599,3.76358,0.140505,-0.0757908,Three,0.989183,-0.0926066,-0.113755,0.0960438,0.99506,0.0251043,0.110869,-0.0357583,0.993192
1714325885727925931,3.7323,-0.215442,-0.500559,0.0179705,3.76882,0.131626,-0.0755449,Three,0.989178,-0.0926332,-0.113784,0.0960688,0.995059,0.0250797,0.110898,-0.0357394,0.993189
1714325885732018287,3.74358,-0.218787,-0.502337,0.0378735,3.78049,0.129358,-0.0760295,Three,0.98918,-0.0926397,-0.11376,0.0960753,0.995058,0.0250866,0.110874,-0.0357447,0.993191
1714325885739498611,3.74606,-0.223718,-0.502841,-7.29034e-05,3.78345,0.124773,-0.0760936,Three,0.989178,-0.0926649,-0.113757,0.0960978,0.995056,0.025063,0.110872,-0.0357236,0.993192
1714325885747383222,3.75708,-0.229453,-0.504323,-0.0477537,3.79505,0.120132,-0.0760913,Three,0.989175,-0.0926756,-0.113769,0.0961085,0.995055,0.0250581,0.110884,-0.0357211,0.993191
1714325885754024509,3.77416,-0.234689,-0.506483,-0.0187554,3.81267,0.116563,-0.076156,Three,0.989174,-0.0926901,-0.11377,0.0961248,0.995053,0.0250728,0.110883,-0.0357375,0.993191
1714325885760853083,3.77781,-0.239168,-0.5071,-0.0512672,3.81677,0.112471,-0.0762177,Three,0.989173,-0.0926982,-0.113767,0.0961348,0.995052,0.0250905,0.110878,-0.0357559,0.993191
1714325885767641531,3.8016,-0.244686,-0.510171,-0.0474309,3.84116,0.109229,-0.0764605,Three,0.989173,-0.0927084,-0.11376,0.0961454,0.995051,0.0250957,0.110871,-0.0357615,0.993191
1714325885774458979,3.79604,-0.248675,-0.509516,-0.0945575,3.83596,0.104707,-0.0762862,Three,0.989174,-0.0926996,-0.11376,0.0961371,0.995052,0.0251005,0.11087,-0.0357653,0.993191
1714325885781093289,3.79494,-0.252641,-0.509088,-0.123318,3.83519,0.100587,-0.0758149,Three,0.989175,-0.0926791,-0.113766,0.0961176,0.995053,0.0251092,0.110876,-0.0357723,0.99319
1714325885788091519,3.82943,-0.259295,-0.513626,-0.11672,3.87044,0.0972388,-0.0762289,Three,0.989173,-0.0926975,-0.113775,0.0961366,0.995051,0.0251102,0.110884,-0.0357762,0.993189
1714325885793721872,3.82382,-0.262344,-0.51214,-0.141394,3.86501,0.0937282,-0.0753205,Three,0.989174,-0.0927044,-0.113761,0.0961424,0.995051,0.0251045,0.11087,-0.03577,0.993191
1714325885809382828,3.84534,-0.274054,-0.515192,-0.192654,3.88772,0.0841806,-0.075498,Three,0.989169,-0.0927326,-0.113774,0.0961716,0.995048,0.0251074,0.110883,-0.0357774,0.993189
1714325885817017384,3.83113,-0.278217,-0.513137,-0.245657,3.87382,0.0788018,-0.0749195,Three,0.989168,-0.0927534,-0.113766,0.0961929,0.995046,0.0251132,0.110873,-0.0357846,0.99319
1714325885823157777,3.89234,-0.286799,-0.520952,-0.219199,3.93605,0.0759986,-0.0755876,Three,0.989167,-0.0927648,-0.113766,0.0962053,0.995044,0.0251219,0.110872,-0.0357947,0.99319
1714325885831307061,3.82557,-0.287406,-0.511818,-0.308844,3.86902,0.0692229,-0.0738202,Three,0.989165,-0.09277,-0.113786,0.0962115,0.995044,0.0251245,0.110891,-0.0357998,0.993188
1714325885837792167,3.8575,-0.294074,-0.515919,-0.310993,3.90169,0.0654864,-0.0740508,Three,0.989164,-0.0927517,-0.113802,0.0961955,0.995045,0.0251409,0.110906,-0.0358157,0.993185
1714325885843696624,3.85373,-0.297872,-0.515616,-0.335224,3.89828,0.0614245,-0.0739428,Three,0.98916,-0.0927692,-0.113825,0.0962147,0.995043,0.0251474,0.110928,-0.0358265,0.993182
1714325885849344353,3.88566,-0.304072,-0.51928,-0.339661,3.93086,0.0581651,-0.0737778,Three,0.989161,-0.0927512,-0.113835,0.0961974,0.995044,0.025152,0.110938,-0.03583,0.993181
1714325885854666204,3.85677,-0.305589,-0.515348,-0.378245,3.90197,0.053914,-0.07296,Three,0.98916,-0.092735,-0.11385,0.0961818,0.995046,0.0251521,0.110954,-0.0358298,0.993179
1714325885862259364,3.85529,-0.311011,-0.515213,-0.410881,3.90099,0.048453,-0.0727499,Three,0.989157,-0.0927535,-0.113863,0.0962014,0.995044,0.0251569,0.110965,-0.0358379,0.993178
1714325885870109745,3.95551,-0.324722,-0.527932,-0.389622,4.00285,0.0441772,-0.073883,Three,0.989159,-0.092766,-0.113835,0.0962137,0.995043,0.0251644,0.110936,-0.0358441,0.993181
1714325885876919775,3.91174,-0.325935,-0.521857,-0.437899,3.95897,0.0389839,-0.0728431,Three,0.989163,-0.0927859,-0.11379,0.0962319,0.995041,0.0251629,0.110891,-0.0358404,0.993186
1714325885883667115,3.91723,-0.331495,-0.522648,-0.462202,3.965,0.0339654,-0.0729119,Three,0.989165,-0.0927882,-0.113767,0.0962337,0.995041,0.0251652,0.110868,-0.0358408,0.993189
1714325885890226373,3.89588,-0.334268,-0.519018,-0.495165,3.94373,0.029271,-0.0717129,Three,0.989168,-0.0927965,-0.113732,0.096241,0.99504,0.0251675,0.110833,-0.0358406,0.993193
1714325885896752755,3.90114,-0.339409,-0.519139,-0.519056,3.94943,0.0247633,-0.0711417,Three,0.989168,-0.0928232,-0.113714,0.096266,0.995038,0.0251562,0.110815,-0.0358305,0.993195
1714325885903457444,3.92924,-0.346738,-0.522769,-0.532583,3.97831,0.0202035,-0.0713212,Three,0.989164,-0.0928526,-0.113727,0.0962948,0.995035,0.025145,0.110828,-0.0358238,0.993194
