t,x,y,z,yaw1,yaw2,label
1714224617036883307,3.61094,0.602625,-0.531894,-0.602251,0.903814,Three
1714224617043095301,3.61383,0.599163,-0.533267,-0.573579,0.87561,Three
1714224617049231896,3.62056,0.596463,-0.534532,-0.556091,0.857077,Three
1714224617056285299,3.57636,0.584386,-0.527873,-0.546188,0.845845,Three
1714224617063408333,3.54255,0.574035,-0.523041,-0.532527,0.832906,Three
1714224617070354075,3.62595,0.582738,-0.536965,-0.476711,0.774088,Three
1714224617077757047,3.56786,0.568218,-0.5283,-0.472609,0.764771,Three
1714224617084616525,3.49332,0.551295,-0.51666,-0.479364,0.773865,Three
1714224617091613422,3.55142,0.555753,-0.526319,-0.423308,0.719184,Three
1714224617098609455,3.53177,0.547255,-0.52342,-0.412445,0.703284,Three
1714224617105551227,3.49533,0.536456,-0.518124,-0.407194,0.696369,Three
1714224617112364526,3.41549,0.519849,-0.504879,-0.415229,0.707757,Three
1714224617119365814,2.9667,0.446369,-0.431253,0.859976,-0.557912,Three
1714224617126313050,3.44216,0.513111,-0.51067,-0.358855,0.634024,Three
1714224617133104663,3.4925,0.515089,-0.519047,-0.313948,0.594372,Three
1714224617139893891,3.49818,0.51082,-0.52009,-0.280661,0.560882,Three
1714224617146831360,3.54763,0.512242,-0.52832,-0.231828,0.512643,Three
1714224617154889335,3.49532,0.498485,-0.520525,-0.248408,0.519518,Three
1714224617161993538,3.47724,0.489886,-0.517777,-0.226605,0.493152,Three
1714224617169032204,3.54621,0.493502,-0.528574,-0.130404,0.397636,Three
1714224617176798424,3.46775,0.476625,-0.516272,-0.171547,0.439636,Three
1714224617183777812,3.51765,0.477419,-0.524649,-0.121787,0.388253,Three
1714224617190824832,3.4572,0.463641,-0.514839,-0.166064,0.423835,Three
1714224617198786487,3.48438,0.460014,-0.518899,-0.0652051,0.32111,Three
1714224617206139399,3.49279,0.454742,-0.520243,-0.0210627,0.274961,Three
1714224617213510179,3.49696,0.449385,-0.521079,-0.014152,0.265516,Three
1714224617220869209,3.50493,0.44395,-0.52258,0.0614875,0.189772,Three
1714224617228201939,3.49163,0.435758,-0.520528,0.0985536,0.150014,Three
1714224617235194073,3.42258,0.420919,-0.509538,-0.0515998,0.294134,Three
1714224617242860391,3.42456,0.414891,-0.509872,-0.0127206,0.252932,Three
1714224617249811122,3.42829,0.409498,-0.510558,-0.0053736,0.244985,Three
1714224617256874475,3.45595,0.405754,-0.514575,0.0163071,0.214793,Three
1714224617264883683,3.45351,0.398367,-0.514384,0.0957049,0.135477,Three
1714224617272244556,3.43357,0.389803,-0.511083,0.085356,0.143069,Three
1714224617279318015,3.42703,0.383051,-0.510242,0.184393,0.0438316,Three
1714224617286811010,3.4411,0.378255,-0.512348,0.195977,0.027638,Three
1714224617294227447,3.42805,0.37045,-0.509986,-0.0111836,0.228859,Three
1714224617301834952,3.45914,0.366637,-0.514537,0.0480584,0.165516,Three
1714224617308947131,3.43012,0.357184,-0.510213,0.214473,-0.00685359,Three
1714224617315980014,3.44938,0.353442,-0.512578,0.0799903,0.125957,Three
1714224617323408902,3.46619,0.348614,-0.515339,0.2075,-0.0018753,Three
1714224617330779689,3.43152,0.338927,-0.509698,-0.104919,0.310514,Three
1714224617338258715,3.42997,0.331751,-0.50942,0.326681,-0.124133,Three
1714224617345398747,3.46433,0.329672,-0.514378,-0.0920578,0.285568,Three
1714224617352849079,3.47817,0.324286,-0.516276,0.284459,-0.0915993,Three
1714224617359994262,3.49065,0.319337,-0.517899,0.301398,-0.107554,Three
1714224617366785579,3.4987,0.314015,-0.519173,0.323298,-0.132636,Three
1714224617373747630,3.54229,0.311873,-0.525849,0.286679,-0.101271,Three
1714224617380561736,3.47037,0.299815,-0.513973,0.399505,-0.213535,Three
1714224617387446146,3.48024,0.295136,-0.515039,0.41468,-0.235275,Three
1714224617394642161,3.4335,0.285359,-0.507252,0.471953,-0.292796,Three
1714224617401584271,3.43656,0.279862,-0.507741,0.487551,-0.310671,Three
1714224617408428727,3.46917,0.277302,-0.512562,0.490157,-0.31632,Three
1714224617415431033,3.56132,0.279145,-0.526455,0.44244,-0.272928,Three
1714224617422547073,3.5092,0.269503,-0.517906,0.504398,-0.334687,Three
1714224617429895443,3.46781,0.260536,-0.510428,0.56385,-0.394945,Three
1714224617437219411,3.50826,0.257913,-0.51648,0.565683,-0.400892,Three
1714224617443916695,2.9816,0.215235,-0.429093,-0.650021,0.796607,Three
1714224617449920273,3.46548,0.245172,-0.508824,0.624771,-0.465915,Three
1714224617456874522,3.45689,0.239723,-0.507389,0.653885,-0.493161,Three
1714224617463852875,3.54363,0.240713,-0.520435,0.634789,-0.476738,Three
1714224617470979163,3.55559,0.236606,-0.521651,0.656444,-0.502205,Three
1714224617477934691,3.59492,0.234251,-0.527575,0.666784,-0.512721,Three
1714224617484962245,3.55512,0.226581,-0.521109,0.708669,-0.555646,Three
1714224617492159408,3.60155,0.224609,-0.528166,0.717668,-0.566726,Three
1714224617498943498,3.59941,0.219973,-0.527227,0.741988,-0.596042,Three
