t,x,y,z,odom_yaw,cx,cy,cz,label,rot1,rot2,rot3,rot4,rot5,rot6,rot7,rot8,rot9
1714313239534374433,3.5779,-0.98845,-0.488012,0.199157,3.7416,0.118578,-0.054207,Three,0.94817,-0.295373,-0.117167,0.301205,0.952908,0.0352492,0.101238,-0.0687135,0.992486
1714313239541252604,3.58028,-0.989145,-0.488655,0.202452,3.74413,0.118643,-0.0544782,Three,0.948165,-0.295381,-0.117188,0.301212,0.952906,0.0352294,0.101263,-0.0687017,0.992485
1714313239546878495,3.57907,-0.988732,-0.488352,0.194906,3.74284,0.118593,-0.0542439,Three,0.94817,-0.295356,-0.11721,0.30119,0.952912,0.0352476,0.10128,-0.0687231,0.992481
1714313239552497197,3.58093,-0.989209,-0.488578,0.199297,3.74477,0.118652,-0.0542681,Three,0.948174,-0.295346,-0.117203,0.301179,0.952916,0.0352391,0.101277,-0.068712,0.992483
1714313239558090109,3.58093,-0.989284,-0.488826,0.204802,3.74481,0.118624,-0.0545043,Three,0.94817,-0.29536,-0.117205,0.301191,0.952913,0.035225,0.101282,-0.0687003,0.992483
1714313239563873775,3.58007,-0.989121,-0.488474,0.200279,3.74391,0.118608,-0.0542373,Three,0.948163,-0.295378,-0.11721,0.301211,0.952906,0.0352329,0.101283,-0.0687114,0.992482
1714313239569523279,3.57875,-0.988705,-0.488433,0.199437,3.74253,0.118574,-0.0542381,Three,0.948163,-0.295368,-0.117242,0.301204,0.952908,0.0352432,0.101311,-0.0687301,0.992478
1714313239575026329,3.58138,-0.989369,-0.489043,0.202091,3.7453,0.118656,-0.0545159,Three,0.948167,-0.295353,-0.117246,0.301192,0.952911,0.0352708,0.101308,-0.0687563,0.992476
1714313239582158811,3.5802,-0.98915,-0.488659,0.195764,3.74407,0.118583,-0.0542555,Three,0.948161,-0.295369,-0.117252,0.301212,0.952904,0.0353025,0.101302,-0.06879,0.992475
1714313239587910053,3.57976,-0.989035,-0.488726,0.199117,3.74363,0.118596,-0.0542499,Three,0.948155,-0.295376,-0.117285,0.301221,0.952901,0.0352965,0.101335,-0.0687952,0.992471
1714313239594341175,3.58018,-0.989217,-0.488952,0.197351,3.7441,0.118593,-0.0542558,Three,0.948146,-0.295386,-0.117328,0.301232,0.952898,0.035279,0.101381,-0.0687927,0.992466
1714313239600248670,3.5792,-0.989067,-0.488862,0.197106,3.74311,0.118577,-0.0542422,Three,0.948134,-0.29542,-0.117338,0.301265,0.952888,0.0352603,0.101393,-0.0687813,0.992466
1714313239605997359,3.58041,-0.989408,-0.489035,0.198517,3.74439,0.118603,-0.05426,Three,0.948135,-0.295417,-0.11734,0.301261,0.95289,0.0352543,0.101397,-0.0687757,0.992466
1714313239611692330,3.5801,-0.989237,-0.489037,0.199896,3.74404,0.118614,-0.0542565,Three,0.948138,-0.295402,-0.117352,0.301247,0.952894,0.0352526,0.10141,-0.0687763,0.992464
1714313239617334679,3.57949,-0.98906,-0.489009,0.199242,3.74341,0.118586,-0.0542337,Three,0.948138,-0.295396,-0.11737,0.301242,0.952896,0.0352509,0.101428,-0.0687795,0.992462
1714313239623034114,3.57953,-0.989009,-0.489037,0.198613,3.74343,0.1186,-0.0542315,Three,0.948141,-0.295385,-0.117377,0.30123,0.9529,0.0352429,0.101439,-0.0687728,0.992462
